Mean3,StDev3,Variance3,CVariation3,Q1_3,Median3,Q3_3,IQR3,Minimum3,Maximum3,Range3
94.37272727,2.426477325,5.887792208,2.57116372,92.375,93.9,95.725,3.35,90.3,99.2,8.9
92.37391304,2.259569024,5.105652174,2.446111623,90.8,92,94,3.2,87.6,97.1,9.5
88.71304348,2.140158097,4.58027668,2.412450315,87.1,88.3,89.4,2.3,86,94.1,8.1
90.74347826,2.304901119,5.31256917,2.540018482,89.4,90.2,90.8,1.4,88.8,98.8,10
87.49090909,1.772786102,3.142770563,2.026251779,86.55,87,87.725,1.175,85.9,94.1,8.2
91.54583333,2.475089663,6.126068841,2.703661732,90.025,90.6,92.9,2.875,88.8,100.4,11.6
86.05833333,1.497219645,2.241666667,1.739772997,85.125,85.7,86.95,1.825,83.5,90.8,7.3
86.94782609,1.509325426,2.278063241,1.73589783,85.6,86.7,88,2.4,84.8,90.6,5.8
91.82272727,2.311654081,5.343744589,2.517518429,90.05,91.5,93.35,3.3,88.2,96.3,8.1
88.82083333,1.770281031,3.133894928,1.993092121,87.8,88.25,89.35,1.55,87.3,95.7,8.4
88.50416667,1.981101838,3.924764493,2.238427763,87.6,88,88.675,1.075,86,95.6,9.6
88.30909091,1.546396453,2.391341991,1.751118076,87.35,88.4,89.025,1.675,85.8,93.3,7.5
94.28333333,1.342180791,1.801449275,1.42356103,93.4,94.3,95,1.6,91.1,96.7,5.6
92.79166667,1.083037864,1.172971014,1.167171474,91.8,93,93.7,1.9,91,94.5,3.5
89.68333333,1.053221421,1.109275362,1.174378095,88.9,89.55,90.475,1.575,88.2,91.6,3.4
89.17083333,1.434809233,2.058677536,1.609056661,88.025,88.8,90.225,2.2,87.1,92.4,5.3
93.48333333,1.991867524,3.967536232,2.130719405,91.925,93.65,94.825,2.9,88.5,96.5,8
88.85416667,1.274150754,1.623460145,1.433979747,87.95,88.5,89.6,1.65,86.9,92.1,5.2
88.9375,1.505298613,2.265923913,1.692535334,87.575,88.7,90.15,2.575,86.9,92.6,5.7
90.64166667,2.303478781,5.306014493,2.541302323,88.425,90.25,92.5,4.075,87.7,95.6,7.9
92.06818182,2.428871257,5.899415584,2.638122323,89.8,91.65,94.8,5,88.9,96.2,7.3
88.75833333,1.826833008,3.337318841,2.058210131,87.175,88.65,90.25,3.075,85.6,92.2,6.6
88.97083333,1.346001863,1.811721014,1.51285743,88.05,89,89.575,1.525,86.5,93.1,6.6
89.06666667,1.326212871,1.75884058,1.489011457,88.05,89.1,89.675,1.625,87.1,92.6,5.5
88.65416667,1.849554392,3.420851449,2.086257715,86.95,88.1,90.75,3.8,86.2,92,5.8
96.8,2.536401651,6.433333333,2.620249639,94.525,97.45,98.9,4.375,92.3,100.9,8.6
92.0125,1.50052527,2.251576087,1.630784155,91.25,91.75,92.9,1.65,89.2,94.9,5.7
91.82083333,2.14435136,4.598242754,2.335364733,90.125,91.25,93.65,3.525,88.6,96.4,7.8
91.5875,2.373643778,5.634184783,2.591667834,90.625,91.25,91.75,1.125,86.6,99.2,12.6
88.76363636,2.272725541,5.165281385,2.560424104,87.225,88.35,89.55,2.325,86,96.8,10.8
89.70416667,2.287295568,5.231721014,2.549820875,88.15,88.95,91.275,3.125,86.9,95.2,8.3
92.97083333,2.27165505,5.160416667,2.44340614,91.35,92.5,94.45,3.1,89,99.9,10.9
90.5326087,2.286195709,5.226690821,2.525273205,89.1,89.95,91.4,2.3,87.3,99.6,12.3
87.29166667,1.02699082,1.054710145,1.176504997,86.5,87.25,88.075,1.575,85.5,89.7,4.2
91.95652174,2.444255991,5.974387352,2.658056161,90.6,91.5,93.4,2.8,87.4,98.9,11.5
91.7,2.398015052,5.75047619,2.615065488,90,91.75,93.375,3.375,88.2,96.5,8.3
91.12608696,2.167784246,4.699288538,2.378884377,90.1,90.7,92.1,2,87.8,97.9,10.1
90.12083333,2.449308539,5.999112319,2.717805027,88.55,89.85,92.35,3.8,85,94.7,9.7
90.45217391,1.45722949,2.123517787,1.611049715,89.5,90.5,91.3,1.8,88.2,93.3,5.1
87.83478261,1.653813416,2.735098814,1.882868457,86.6,87.7,88.9,2.3,84.9,91.7,6.8
87.95652174,1.300987767,1.69256917,1.479125983,87,87.6,88.9,1.9,86,90.5,4.5
91.04782609,2.060421308,4.245335968,2.263009889,89.8,90.4,92.2,2.4,88.5,97.7,9.2
87.54090909,2.170507751,4.711103896,2.479421077,85.775,87.5,88.5,2.725,84.5,92.6,8.1
94.34583333,1.980992102,3.92432971,2.099713398,93.05,94.05,95.525,2.475,91.1,100.7,9.6
90.56521739,2.423297658,5.872371542,2.675748735,88.5,90.7,92.4,3.9,86.5,95,8.5
87.57916667,1.71413032,2.938242754,1.957235248,86.125,87.55,88.35,2.225,85.1,91.6,6.5
89.66818182,2.299976473,5.289891775,2.564986181,87.5,90.15,90.75,3.25,85.3,94.5,9.2
89.92916667,0.993228888,0.986503623,1.104456901,89.2,89.6,90.575,1.375,88.5,92.2,3.7
84.1875,2.127319706,4.52548913,2.526883095,82.9,83.75,85.5,2.6,81.5,90.3,8.8
92.84583333,1.356459319,1.839981884,1.460980283,91.8,92.55,93.55,1.75,91.2,96.3,5.1
89.70909091,2.348638733,5.516103896,2.618061011,88.175,88.8,91.325,3.15,86.6,95.1,8.5
